"Sample","CellID","Pre.Count","Pre.Percentage","Post.Count","Post.Percentage","post.pre"
"ctrl2_li","V654A#39",4039,"2,15",132,"0,10","0,05"
"ctrl2_li","D816E#24",5815,"3,10",699,"0,54","0,17"
"ctrl2_li","D816E#34",4318,"2,30",350,"0,27","0,12"
"ctrl2_li","D816E#36",24093,"12,84",1977,"1,53","0,12"
"ctrl2_li","D816A#10",10735,"5,72",3335,"2,58","0,45"
"ctrl2_li","D816A#11",3502,"1,87",862,"0,67","0,36"
"ctrl2_li","D816A#13",15705,"8,37",290,"0,22","0,03"
"ctrl2_li","A829P#21",2029,"1,08",33,"0,03","0,02"
"ctrl2_li","A829P#22",11590,"6,18",84,"0,07","0,01"
"ctrl2_li","A829P#28",6360,"3,39",62,"0,05","0,01"
"im-tram2_li","T1parental#4",1533,"0,82",2081,"1,19","1,45"
"im-tram2_li","T1parental#6",10903,"5,81",9613,"8,93","1,54"
"im-tram2_li","T1parental#9",12735,"6,79",12328,"9,66","1,42"
"im-tram2_li","TSC2#18",7320,"3,90",1837,"3,43","0,88"
"im-tram2_li","TSC2#19",3,"0,00",82,"0,00","1,23"
"im-tram2_li","TSC2#20",14729,"7,85",13615,"13,89","1,77"
"im-tram2_li","PTEN#15",13623,"7,26",13412,"17,29","2,38"
"im-tram2_li","PTEN#16",7845,"4,18",6028,"5,77","1,38"
"im-tram2_li","PTEN#17",6959,"3,71",15167,"12,08","3,26"
"im-tram2_li","Hom#25",3661,"1,95",1197,"0,97","0,50"
"im-tram2_li","Hom#26",4356,"2,32",1506,"1,40","0,60"
"im-tram2_li","Hom#27",873,"0,47",486,"0,41","0,89"
"im-tram2_li","V654A#29",10677,"5,69",789,"0,62","0,11"
"im-tram2_li","V654A#30",4227,"2,25",388,"0,66","0,29"
"im-tram2_li","V654A#39",4039,"2,15",307,"0,68","0,31"
"im-tram2_li","D816E#24",5815,"3,10",1652,"3,26","1,05"
"im-tram2_li","D816E#34",4318,"2,30",657,"1,77","0,77"
"im-tram2_li","D816E#36",24093,"12,84",7631,"10,49","0,82"
"im-tram2_li","D816A#10",10735,"5,72",3078,"3,54","0,62"
"im-tram2_li","D816A#11",3502,"1,87",1669,"1,62","0,87"
"im-tram2_li","D816A#13",15705,"8,37",1496,"1,56","0,19"
"im-tram2_li","A829P#21",2029,"1,08",360,"0,24","0,22"
"im-tram2_li","A829P#22",11590,"6,18",443,"0,31","0,05"
"im-tram2_li","A829P#28",6360,"3,39",458,"0,24","0,07"
"ctrl1_li","T1parental#4",1533,"0,82",1824,"1,81","2,21"
"ctrl1_li","T1parental#6",10903,"5,81",15002,"14,86","2,56"
"ctrl1_li","T1parental#9",12735,"6,79",15218,"15,08","2,22"
"ctrl1_li","TSC2#18",7320,"3,90",2154,"2,13","0,55"
"ctrl1_li","TSC2#19",3,"0,00",3,"0,00","1,86"
"ctrl1_li","TSC2#20",14729,"7,85",10156,"10,06","1,28"
"ctrl1_li","PTEN#15",13623,"7,26",20106,"19,92","2,74"
"ctrl1_li","PTEN#16",7845,"4,18",11096,"10,99","2,63"
"ctrl1_li","PTEN#17",6959,"3,71",15932,"15,78","4,26"
"ctrl1_li","Hom#25",3661,"1,95",630,"0,62","0,32"
"ctrl1_li","Hom#26",4356,"2,32",812,"0,80","0,35"
"ctrl1_li","Hom#27",873,"0,47",484,"0,48","1,03"
"ctrl1_li","V654A#29",10677,"5,69",431,"0,43","0,08"
"ctrl1_li","V654A#30",4227,"2,25",494,"0,49","0,22"
"ctrl1_li","V654A#39",4039,"2,15",307,"0,30","0,14"
"ctrl1_li","D816E#24",5815,"3,10",331,"0,33","0,11"
"ctrl1_li","D816E#34",4318,"2,30",198,"0,20","0,09"
"ctrl1_li","D816E#36",24093,"12,84",872,"0,86","0,07"
"ctrl1_li","D816A#10",10735,"5,72",3067,"3,04","0,53"
"ctrl1_li","D816A#11",3502,"1,87",1236,"1,22","0,66"
"ctrl1_li","D816A#13",15705,"8,37",179,"0,18","0,02"
"ctrl1_li","A829P#21",2029,"1,08",140,"0,14","0,13"
"ctrl1_li","A829P#22",11590,"6,18",155,"0,15","0,02"
"ctrl1_li","A829P#28",6360,"3,39",116,"0,11","0,03"
"sun1_re","T1parental#4",1533,"0,82",984,"0,58","0,72"
"sun1_re","T1parental#6",10903,"5,81",7242,"4,30","0,74"
"sun1_re","T1parental#9",12735,"6,79",8233,"4,89","0,72"
"sun1_re","TSC2#18",7320,"3,90",9476,"5,63","1,44"
"sun1_re","TSC2#19",3,"0,00",5,"0,00","1,86"
"sun1_re","TSC2#20",14729,"7,85",41817,"24,85","3,17"
"sun1_re","PTEN#15",13623,"7,26",20761,"12,34","1,70"
"sun1_re","PTEN#16",7845,"4,18",14842,"8,82","2,11"
"sun1_re","PTEN#17",6959,"3,71",14009,"8,32","2,24"
"sun1_re","Hom#25",3661,"1,95",1718,"1,02","0,52"
"sun1_re","Hom#26",4356,"2,32",1519,"0,90","0,39"
"sun1_re","Hom#27",873,"0,47",590,"0,35","0,75"
"sun1_re","V654A#29",10677,"5,69",1015,"0,60","0,11"
"sun1_re","V654A#30",4227,"2,25",1300,"0,77","0,34"
"sun1_re","V654A#39",4039,"2,15",998,"0,59","0,28"
"sun1_re","D816E#24",5815,"3,10",3860,"2,29","0,74"
"sun1_re","D816E#34",4318,"2,30",2584,"1,54","0,67"
"sun1_re","D816E#36",24093,"12,84",13324,"7,92","0,62"
"sun1_re","D816A#10",10735,"5,72",13156,"7,82","1,37"
"sun1_re","D816A#11",3502,"1,87",5794,"3,44","1,84"
"sun1_re","D816A#13",15705,"8,37",2517,"1,50","0,18"
"sun1_re","A829P#21",2029,"1,08",918,"0,55","0,50"
"sun1_re","A829P#22",11590,"6,18",953,"0,57","0,09"
"sun1_re","A829P#28",6360,"3,39",663,"0,39","0,12"
"d0-3_re","T1parental#4",1533,"0,82",2922,"2,00","2,44"
"d0-3_re","T1parental#6",10903,"5,81",22623,"15,47","2,66"
"d0-3_re","T1parental#9",12735,"6,79",24871,"17,00","2,51"
"d0-3_re","TSC2#18",7320,"3,90",2816,"1,93","0,49"
"d0-3_re","TSC2#19",3,"0,00",7,"0,00","2,99"
"d0-3_re","TSC2#20",14729,"7,85",10232,"6,99","0,89"
"d0-3_re","PTEN#15",13623,"7,26",18981,"12,98","1,79"
"d0-3_re","PTEN#16",7845,"4,18",13697,"9,36","2,24"
"d0-3_re","PTEN#17",6959,"3,71",22113,"15,12","4,08"
"d0-3_re","Hom#25",3661,"1,95",2811,"1,92","0,98"
"d0-3_re","Hom#26",4356,"2,32",5810,"3,97","1,71"
"d0-3_re","Hom#27",873,"0,47",1086,"0,74","1,60"
"d0-3_re","V654A#29",10677,"5,69",489,"0,33","0,06"
"d0-3_re","V654A#30",4227,"2,25",349,"0,24","0,11"
"d0-3_re","V654A#39",4039,"2,15",400,"0,27","0,13"
"d0-3_re","D816E#24",5815,"3,10",1887,"1,29","0,42"
"d0-3_re","D816E#34",4318,"2,30",1033,"0,71","0,31"
"d0-3_re","D816E#36",24093,"12,84",5092,"3,48","0,27"
"d0-3_re","D816A#10",10735,"5,72",4022,"2,75","0,48"
"d0-3_re","D816A#11",3502,"1,87",1897,"1,30","0,69"
"d0-3_re","D816A#13",15705,"8,37",2269,"1,55","0,19"
"d0-3_re","A829P#21",2029,"1,08",227,"0,16","0,14"
"d0-3_re","A829P#22",11590,"6,18",352,"0,24","0,04"
"d0-3_re","A829P#28",6360,"3,39",295,"0,20","0,06"
"im3_re","T1parental#4",1533,"0,82",2159,"1,31","1,61"
"im3_re","T1parental#6",10903,"5,81",10588,"6,44","1,11"
"im3_re","T1parental#9",12735,"6,79",11242,"6,84","1,01"
"im3_re","TSC2#18",7320,"3,90",5439,"3,31","0,85"
"im3_re","TSC2#19",3,"0,00",62,"0,04","23,58"
"im3_re","TSC2#20",14729,"7,85",18213,"11,07","1,41"
"im3_re","PTEN#15",13623,"7,26",13499,"8,21","1,13"
"im3_re","PTEN#16",7845,"4,18",7184,"4,37","1,04"
"im3_re","PTEN#17",6959,"3,71",15124,"9,20","2,48"
"im3_re","Hom#25",3661,"1,95",7478,"4,55","2,33"
"im3_re","Hom#26",4356,"2,32",7017,"4,27","1,84"
"im3_re","Hom#27",873,"0,47",929,"0,56","1,21"
"im3_re","V654A#29",10677,"5,69",253,"0,15","0,03"
"im3_re","V654A#30",4227,"2,25",476,"0,29","0,13"
"im3_re","V654A#39",4039,"2,15",443,"0,27","0,13"
"im3_re","D816E#24",5815,"3,10",7621,"4,63","1,50"
"im3_re","D816E#34",4318,"2,30",5003,"3,04","1,32"
"im3_re","D816E#36",24093,"12,84",32331,"19,66","1,53"
"im3_re","D816A#10",10735,"5,72",3948,"2,40","0,42"
