Sample,CellID,Counts Pre-Pool ,Pre-Percentage,Counts Post-Sample,Post-Percentage,post/pre
IM30,D816A#13,4501,35.722.505.734.172.400,3416,2.677.682.581.737.510,0.749578599458665
IM30,A829P#21,948,0.752386923705744,873,0.684314078997907,0.90952415231706
IM30,A829P#22,6631,5.262.740.180.477.620,6560,5.142.153.904.039.250,0.977086788953464
IM30,A829P#28,2032,1.612.711.211.993.740,1826,14.313.373.519.475.100,0.887534817952926
IM100,T1parental#4,899,0.71349772617243,541,0.405125094541669,0.567801521547896
IM100,T1parental#6,9520,7.555.615.520.758.100,5884,4.406.203.431.207.360,0.583169355177202
IM100,T1parental#9,12233,9.708.807.212.755.650,8370,626.783.186.934.154,0.645582071205072
IM100,TSC2#18,8408,6.673.068.833.879.630,9797,7.336.433.551.247.200,10.994.092.424.162.600
IM100,TSC2#19,1,0.000793657092516607,3,0.0022465347201941,2.830.611.282.097.360
IM100,TSC2#20,13886,11.020.722.386.685.600,18988,14.219.067.089.015.100,1.290.211.892.660.820
IM100,PTEN#15,8003,6.351.637.711.410.400,6889,5.158.792.562.472.380,0.812198805546618
IM100,PTEN#16,6551,5.199.247.613.076.290,6215,4.654.071.095.335.440,0.895143190262816
IM100,PTEN#17,4211,3.342.090.016.587.430,4041,30.260.822.681.014.500,0.905446069101199
IM100,Hom#25,110,0.0873022801768268,78,0.0584099027250466,0.669053575768468
IM100,Hom#26,2416,19.174.755.355.201.200,1823,13.651.442.649.712.800,0.711948726167701
IM100,Hom#27,25,0.0198414273129152,35,0.0262095717355978,1.320.951.931.645.430
IM100,V654A#29,6680,53.016.293.780.109.300,8898,6.663.221.980.095.700,12.568.253.087.875.400
IM100,V654A#30,4274,33.920.904.134.159.700,5756,4.310.351.283.145.740,12.707.064.841.485.200
IM100,V654A#39,2005,15.912.824.704.957.900,2461,1.842.907.315.465.890,11.581.270.765.156.400
IM100,D816E#24,3019,23.960.507.623.076.300,4425,33.136.387.122.862.900,13.829.584.766.789.000
IM100,D816E#34,2180,17.301.724.616.862.000,3136,23.483.776.275.095.600,1.357.308.406.828.330
IM100,D816E#36,18389,1.459.456.027.428.780,22178,16.607.882.341.488.200,11.379.501.697.455.900
IM100,D816A#10,4592,36.444.733.688.362.600,4560,34.147.327.746.950.300,0.936961922645469
IM100,D816A#11,4485,3.559.552.059.936.980,4354,32.604.707.239.083.700,0.915977816592488
IM100,D816A#13,4501,35.722.505.734.172.400,4325,32.387.542.216.131.600,0.906642508707036
IM100,A829P#21,948,0.752386923705744,872,0.652992758669752,0.867894879742933
IM100,A829P#22,6631,5.262.740.180.477.620,7894,591.138.169.373.741,1.123.251.669.475.520
IM100,A829P#28,2032,1.612.711.211.993.740,2016,15.096.713.319.704.300,0.936107668095191
IM300,T1parental#4,899,0.71349772617243,917,0.409997317356702,0.574630166736675
IM300,T1parental#6,9520,7.555.615.520.758.100,9812,4.387.016.006.438.340,0.580629863230278
IM300,T1parental#9,12233,9.708.807.212.755.650,13397,5.989.895.376.911.380,0.616954816966776
IM300,TSC2#18,8408,6.673.068.833.879.630,18835,8.421.264.419.207.720,12.619.777.539.911.400
IM300,TSC2#19,1,0.000793657092516607,5,0.00223553608155236,28.167.531.073.951.500
IM300,TSC2#20,13886,11.020.722.386.685.600,37391,16.717.785.925.064.800,15.169.410.260.494.300
IM300,PTEN#15,8003,6.351.637.711.410.400,10662,4.767.057.140.302.240,0.750524094240838
IM300,PTEN#16,6551,5.199.247.613.076.290,9638,4.309.219.350.800.320,0.828815950208349
IM300,PTEN#17,4211,3.342.090.016.587.430,5701,25.489.582.401.859.900,0.762683897661352
IM300,Hom#25,110,0.0873022801768268,134,0.0599123669856031,0.686263484347183
IM300,Hom#26,2416,19.174.755.355.201.200,4062,1.816.149.512.653.130,0.947156549854231
IM300,Hom#27,25,0.0198414273129152,34,0.015201645354556,0.766156845211482
IM300,V654A#29,6680,53.016.293.780.109.300,16468,7.362.961.638.200.840,13.888.110.830.114.700
IM300,V654A#30,4274,33.920.904.134.159.700,9280,4.149.154.967.361.170,1.223.185.252.064.900
IM300,V654A#39,2005,15.912.824.704.957.900,3889,17.387.999.642.314.200,10.927.035.246.543.300
IM300,D816E#24,3019,23.960.507.623.076.300,6233,2.786.819.279.263.160,11.630.885.802.182.100
IM300,D816E#34,2180,17.301.724.616.862.000,4521,20.213.717.249.396.400,11.683.064.952.783.000
IM300,D816E#36,18389,1.459.456.027.428.780,33128,14.811.767.861.933.200,10.148.827.771.144.300
IM300,D816A#10,4592,36.444.733.688.362.600,7520,3.362.246.266.654.740,0.922560251202594
IM300,D816A#11,4485,3.559.552.059.936.980,5411,241.929.714.745.596,0.679663369637243
IM300,D816A#13,4501,35.722.505.734.172.400,6925,3.096.217.472.950.010,0.866741402742121
IM300,A829P#21,948,0.752386923705744,1398,0.625055888402039,0.830763891168444
IM300,A829P#22,6631,5.262.740.180.477.620,15086,6.745.059.465.259.760,12.816.630.184.938.400
IM300,A829P#28,2032,1.612.711.211.993.740,3213,1.436.555.486.005.540,0.89077044626581
IM1000,T1parental#4,899,0.71349772617243,1022,0.49385102321873,0.692155006390842
IM1000,T1parental#6,9520,7.555.615.520.758.100,8951,4.325.303.824.687.710,0.572462139292886
IM1000,T1parental#9,12233,9.708.807.212.755.650,15540,75.092.415.859.286.200,0.773446358689955
IM1000,TSC2#18,8408,6.673.068.833.879.630,28993,14.010.002.657.710.900,20.994.842.113.093.700
IM1000,TSC2#19,1,0.000793657092516607,6,0.00289932107564812,3.653.115.562.105.870
IM1000,TSC2#20,13886,11.020.722.386.685.600,31590,15.264.925.463.287.300,13.851.111.504.023.700
IM1000,PTEN#15,8003,6.351.637.711.410.400,9919,4.793.060.958.225.610,0.754618127796413
IM1000,PTEN#16,6551,5.199.247.613.076.290,9924,4.795.477.059.121.980,0.922340580021846
IM1000,PTEN#17,4211,3.342.090.016.587.430,6460,31.216.023.581.144.700,0.934027013821101
IM1000,Hom#25,110,0.0873022801768268,138,0.0666843847399067,0.763833253894864
IM1000,Hom#26,2416,19.174.755.355.201.200,6898,33.332.527.966.367.800,17.383.547.976.963.500
IM1000,Hom#27,25,0.0198414273129152,64,0.0309260914735799,15.586.626.398.318.300
IM1000,V654A#29,6680,53.016.293.780.109.300,13456,6.502.210.732.320.180,12.264.551.647.628.900
IM1000,V654A#30,4274,33.920.904.134.159.700,8480,4.097.707.120.249.340,12.080.182.485.828.100
IM1000,V654A#39,2005,15.912.824.704.957.900,5123,2.475.536.978.424.210,1.555.686.701.967.440
IM1000,D816E#24,3019,23.960.507.623.076.300,4113,19.874.845.973.567.800,0.829483510375481
IM1000,D816E#34,2180,17.301.724.616.862.000,2003,0.967890019087197,0.559418231720035
IM1000,D816E#36,18389,1.459.456.027.428.780,23587,1.139.771.436.855.200,0.780956339509048
